City,location_id,Cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year,Latitude,Longitude
Chattanooga TN,575,57,16,54,11,23,26,22,18,22,2005,35.0456297,-85.3096801
Cheyenne WY-Scottsbluff NE,759,65,15,52,13,22,28,23,22,20,2005,41.876312,-103.637984
Chicago IL,602,64,15,39,11,24,24,24,16,21,2005,41.8781136,-87.6297982
Chico-Redding CA,868,45,10,45,11,18,13,27,38,19,2005,39.775148,-121.8699698
Cincinnati OH,515,64,13,41,11,25,27,18,19,22,2005,39.1031182,-84.5120196
Clarksburg-Weston WV,598,76,0,64,9,22,23,25,18,23,2005,39.2638017,-80.326903
Cleveland-Akron (Canton) OH,510,64,15,44,12,22,22,21,15,21,2005,41.0953742,-81.5867677
Colorado Springs-Pueblo CO,752,49,11,41,9,17,25,12,18,17,2005,38.7978203,-104.7935738
Columbia SC,546,65,19,36,12,31,22,22,25,29,2005,34.0007104,-81.0348144
Columbia-Jefferson City MO,604,76,27,43,17,26,29,46,38,27,2005,38.9517053,-92.3340724
Columbus GA,522,56,34,43,15,30,36,24,21,29,2005,32.4609764,-84.9877094
Columbus OH,535,66,14,39,12,24,29,30,17,22,2005,39.9611755,-82.9987942
Columbus-Tupelo-West Point MS,673,72,19,28,9,10,27,31,31,19,2005,34.2708332,-88.7150718
Corpus Christi TX,600,56,15,47,11,30,23,21,27,24,2005,27.8005828,-97.396381
Dallas-Ft. Worth TX,623,57,15,41,9,27,25,24,13,21,2005,32.7766642,-96.7969879
Davenport IA-Rock Island-Moline IL,682,63,14,48,14,24,26,37,20,25,2005,41.5067003,-90.5151342
Dayton OH,542,60,12,42,11,23,19,27,22,24,2005,39.7589478,-84.1916069
Denver CO,751,59,13,43,10,21,30,27,15,19,2005,39.7392358,-104.990251
Des Moines-Ames IA,679,65,8,43,11,19,28,20,17,23,2005,42.0236281,-93.6097448
Detroit MI,505,66,14,43,11,20,27,22,18,20,2005,42.331427,-83.0457538
Dothan AL,606,64,26,88,11,15,31,57,13,17,2005,31.2232313,-85.3904888
Duluth MN-Superior WI,676,66,12,40,15,20,28,28,31,21,2005,46.7207737,-92.1040796
El Paso TX,765,51,17,34,11,16,21,18,26,35,2005,31.7618778,-106.4850217
Elmira NY,565,66,18,73,10,11,33,49,13,26,2005,42.0897965,-76.8077338
Erie PA,516,73,14,48,16,20,34,33,30,29,2005,42.1292241,-80.085059
Eugene OR,801,64,26,46,15,26,23,17,28,22,2005,44.0520691,-123.0867536
Eureka CA,802,53,13,36,15,16,33,18,20,14,2005,40.8020712,-124.1636729
Evansville IN,649,61,22,41,12,37,22,21,23,26,2005,37.9715592,-87.5710898
Fairbanks AK,745,51,21,59,12,12,41,28,13,25,2005,64.8377778,-147.7163888
Fargo-Valley City ND,724,77,19,48,14,20,35,14,24,27,2005,46.9243955,-98.0035186
Flint-Saginaw-Bay City MI,513,64,12,41,12,19,25,19,23,19,2005,43.5993199,-83.8890847
Florence-Myrtle Beach SC,570,66,31,44,13,30,33,26,17,23,2005,33.703071,-78.8892497
Fresno-Visalia CA,866,54,17,35,13,21,17,27,24,21,2005,36.32166,-119.3148878
Ft. Myers-Naples FL,571,71,12,41,9,23,20,14,13,23,2005,26.1411682,-81.7935098
Ft. Smith-Fayetteville-Springdale-Rogers AR,670,62,11,41,12,21,25,19,27,23,2005,,
Ft. Wayne IN,509,60,13,43,10,20,32,24,25,20,2005,41.079273,-85.1393513
Gainesville FL,592,78,34,53,11,37,37,38,28,29,2005,29.6516344,-82.3248262
Glendive MT,798,70,0,0,0,0,0,0,0,0,2005,47.106401,-104.7107931
Grand Junction-Montrose CO,773,52,0,65,15,22,23,37,14,25,2005,38.4967651,-107.8989028
Grand Rapids-Kalamazoo-Battle Creek MI,563,63,11,45,13,26,24,23,24,22,2005,42.2355515,-85.5515933
Great Falls MT,755,69,22,40,23,19,45,22,12,23,2005,47.5052849,-111.3007715
Green Bay-Appleton WI,658,56,7,40,14,18,24,17,17,18,2005,44.2667743,-88.3850175
Greensboro-High Point-Winston Salem NC,518,66,16,54,11,26,27,33,24,27,2005,35.9556923,-80.0053176
Greenville-New Bern-Washington NC,545,67,18,45,11,20,29,32,35,32,2005,35.5984979,-77.0577179
Greenville-Spartanburg SC-Asheville NC-Anderson SC,567,63,10,38,11,28,22,24,17,21,2005,34.8526176,-82.3940104
Greenwood-Greenville MS,647,74,100,81,9,0,90,0,73,44,2005,33.5171152,-90.1763225
Harlingen-Weslaco-Brownsville-McAllen TX,636,50,25,30,12,27,20,27,29,30,2005,,
Harrisburg-Lancaster-Lebanon-York PA,566,67,17,43,13,34,29,26,20,22,2005,39.9830208,-76.7197723
Harrisonburg VA,569,75,11,43,16,26,35,17,36,22,2005,38.4495688,-78.8689155
Hartford & New Haven CT,533,69,13,45,13,29,35,28,22,24,2005,41.3055024,-72.9267354
