city,state,postal,location_id,latitude,longitude
Medford-Klamath Falls,Oregon,OR,813,42.224924,-121.7722781
Memphis,Tennessee,TN,640,35.1495343,-90.0489801
Meridian,Mississippi,MS,711,37.7117226,-97.3723586
Miami-Ft. Lauderdale,Florida,FL,528,26.1228039,-80.150752
Milwaukee,Wisconsin,WI,617,43.0389025,-87.9064736
Minneapolis-St. Paul,Minnesota,MN,613,44.9374831,-93.2009998
Minot-Bismarck-Dickinson(Williston),North Dakota,ND,687,46.6105457,-104.1852614
Missoula,Montana,MT,762,46.8721284,-113.9940314
Mobile AL-Pensacola (Ft. Walton Beach),Florida,FL,686,30.4500468,-87.2497794
Dorado,Arkansas,AR,628,18.4588347,-66.2676683
Monterey-Salinas,California,CA,828,36.6777372,-121.6555013
Montgomery (Selma),Alabama,AL,698,32.405772,-87.0187444
Nashville,Tennessee,TN,659,36.1626638,-86.7816016
New Orleans,Louisiana,LA,622,29.9510658,-90.0715323
New York,New York,NY,501,40.7127753,-74.0059728
Norfolk-Portsmouth-Newport News,Virginia,VA,544,36.8354258,-76.2982742
North Platte,Nebraska,NE,740,41.1402759,-100.7601454
Odessa-Midland,Texas,TX,633,31.8456816,-102.3676431
Oklahoma City,Oklahoma,OK,650,35.4675602,-97.5164276
Omaha,Nebraska,NE,652,41.2565369,-95.9345034
Orlando-Daytona Beach-Melbourne,Florida,FL,534,27.6648274,-81.5157535
Kirksville,Missouri,MO,631,40.1947539,-92.5832496
Harrisburg-Mount Vernon,Illinois,IL,632,40.3265286,-76.8664828
Palm Springs,California,CA,804,33.8302961,-116.5452921
Panama City,Florida,FL,656,30.1588129,-85.6602058
Parkersburg,West Virginia,WV,597,39.2667418,-81.5615135
Peoria-Bloomington,Illinois,IL,675,40.6751478,-89.611001
Philadelphia,Pennsylvania,PA,504,39.9525839,-75.1652215
Phoenix,Arizona,AZ,753,33.4483771,-112.0740373
Pittsburgh,Pennsylvania,PA,508,40.4406248,-79.9958864
Portland,Oregon,OR,820,45.5051064,-122.6750261
Portland-Auburn,Maine,ME,500,45.253783,-69.4454689
Presque Isle,Maine,ME,552,46.681153,-68.0158614
New Bedford,Massachusetts,MA,521,41.6362152,-70.934205
Keokuk,Iowa,IA,717,40.4044731,-91.3963966
Raleigh-Durham (Fayetteville),North Carolina,NC,560,35.0478668,-78.8565861
Rapid City,South Dakota,SD,764,44.0805434,-103.2310149
Reno,Nevada,NV,811,39.5296329,-119.8138027
Richmond-Petersburg,Virginia,VA,556,37.4315734,-78.6568942
Roanoke-Lynchburg,Virginia,VA,573,37.3177678,-79.9994997
Rochester,Minnesota,MN,611,43.1565779,-77.6088465
Rochester,New York,NY,538,43.1565779,-77.6088465
Rockford,Illinois,IL,610,42.2711311,-89.0939952
Sacramento-Stockton-Modesto,California,CA,862,37.8968929,-121.2514811
Salisbury,Maryland,MD,576,38.3606736,-75.5993692
Salt Lake City,Utah,UT,770,40.7607793,-111.8910474
San Angelo,Texas,TX,661,31.4637723,-100.4370375
San Antonio,Texas,TX,641,29.4241219,-98.4936282
San Diego,California,CA,825,32.715738,-117.1610838
San Jose,California,CA,807,37.3382082,-121.8863286
Santa Barbara-Santa Maria-San Luis Obispo,California,CA,855,34.937706,-120.433378
Savannah,Georgia,GA,507,32.0808989,-81.091203
Seattle-Tacoma,Washington,WA,819,47.4502499,-122.3088165
Ada,Oklahoma,OK,657,34.774531,-96.6783449
Shreveport,Louisiana,LA,612,32.5251516,-93.7501789
Sioux City,Iowa,IA,624,42.4963416,-96.4049408
Sioux Falls(Mitchell),South Dakota,SD,725,43.4889533,-96.7293265
South Bend-Elkhart,Indiana,IN,588,41.6843287,-85.9708313
Spokane,Washington,WA,881,47.6587802,-117.4260465
Springfield,Missouri,MO,619,37.2089572,-93.2922989
Springfield-Holyoke,Massachusetts,MA,543,42.2042586,-72.6162009
St. Joseph,Missouri,MO,638,42.1440481,-83.1786345
St. Louis,Missouri,MO,609,38.6270025,-90.1994042
Syracuse,New York,NY,555,43.0481221,-76.1474244
Thomasville,Georgia,GA,530,35.8826369,-80.0819879
Tampa-St. Petersburg (Sarasota),Florida,FL,539,27.8823552,-82.6759794
Terre Haute,Indiana,IN,581,39.4667034,-87.4139092
Toledo,Ohio,OH,547,41.6528052,-83.5378674
Topeka,Kansas,KS,605,39.0473451,-95.6751576
Traverse City-Cadillac,Michigan,MI,540,44.7354212,-85.5946084
Tri-Cities,Virginia,VA,531,46.2349999,-119.2233014
Tucson (Sierra Vista),Arizona,AZ,789,32.2709837,-110.9614306
Tulsa,Oklahoma,OK,671,36.1539816,-95.992775
Twin Falls,Idaho,ID,760,42.5558381,-114.4700518
Tyler-Longview(Lufkin & Nacogdoches),Texas,TX,709,32.3512601,-95.3010624
Utica,New York,NY,526,43.100903,-75.232664
Victoria,Texas,TX,626,-37.4713077,144.7851531
Waco-Temple-Bryan,Texas,TX,625,30.6724861,-96.3750299
Hagerstown,Maryland,MD,511,39.6417629,-77.7199932
Watertown,New York,NY,549,42.3709299,-71.1828321
Wausau-Rhinelander,Wisconsin,WI,705,45.6555505,-89.3920037
West Palm Beach-Ft. Pierce,Florida,FL,548,27.4680959,-80.2922282
Wheeling WV-Steubenville,Ohio,OH,554,40.0658125,-80.7214227
Lawton,Oklahoma,OK,627,34.6035669,-98.3959291
Wichita-Hutchinson,Kansas,KS,678,38.0232033,-97.9405316
Wilkes Barre-Scranton,Pennsylvania,PA,577,41.240536,-75.848551
Wilmington,North Carolina,NC,550,34.2103894,-77.8868117
Yakima-Pasco-Richland-Kennewick,Washington,WA,810,46.2323882,-119.134048
Youngstown,Ohio,OH,536,41.0997803,-80.6495194
Yuma AZ-El Centro,California,CA,771,32.7001663,-114.5258431
Zanesville,Ohio,OH,596,39.9403453,-82.0131924
